# Public-domain training corpus, one work per line:
#
#   form <TAB> gutenberg-id <TAB> slug <TAB> expected title substring
#
# `form` is what the model is taught to call this kind of text, and
# becomes the `form=` field of every instruction example built from it
# (see crates/llm-core/src/instruct.rs).
#
# The expected-title column is a safety check, not decoration: a wrong
# Gutenberg id doesn't 404, it silently fetches a different book. fetch.sh
# reads the Title: line and skips anything that doesn't match, so a bad id
# costs one missing work rather than a corpus quietly full of the wrong
# thing.
#
# A note on `screenplay`: film scripts are, almost without exception, not
# public domain, so what stands in for them here is public-domain drama —
# stage plays, in the same character-cue-and-dialogue shape a screenplay
# uses. That teaches the structure (who speaks, stage direction, scene
# breaks) even though it isn't film formatting. To train on actual film
# scripts, add them as sources in the app and fine-tune; that path is
# still there and is what it's for.
#
# Adding a work: append a line. Nothing else needs to change.

allegory	1497	plato-republic	The Republic
allegory	1998	nietzsche-zarathustra	Zarathustra
allegory	2591	grimms-fairy-tales	Grimms
allegory	1232	machiavelli-prince	The Prince
allegory	2680	marcus-aurelius-meditations	Meditations
allegory	1727	homer-odyssey	The Odyssey
allegory	205	thoreau-walden	Walden
allegory	3207	hobbes-leviathan	Leviathan
allegory	19942	voltaire-candide	Candide

novel	84	shelley-frankenstein	Frankenstein
novel	1342	austen-pride-and-prejudice	Pride and Prejudice
novel	11	carroll-alice	Alice
novel	2701	melville-moby-dick	Moby
novel	1661	doyle-sherlock-holmes	Sherlock Holmes
novel	345	stoker-dracula	Dracula
novel	174	wilde-dorian-gray	Dorian Gray
novel	76	twain-huckleberry-finn	Huckleberry Finn
novel	1400	dickens-great-expectations	Great Expectations
novel	98	dickens-two-cities	Two Cities
novel	43	stevenson-jekyll-hyde	Jekyll
novel	5200	kafka-metamorphosis	Metamorphosis
novel	64317	fitzgerald-great-gatsby	Gatsby
novel	1260	bronte-jane-eyre	Jane Eyre
novel	768	bronte-wuthering-heights	Wuthering Heights
novel	120	stevenson-treasure-island	Treasure Island
novel	35	wells-time-machine	Time Machine
novel	36	wells-war-of-the-worlds	War of the Worlds
novel	164	verne-twenty-thousand-leagues	Twenty Thousand Leagues
novel	219	conrad-heart-of-darkness	Heart of Darkness
novel	2814	joyce-dubliners	Dubliners
novel	158	austen-emma	Emma

screenplay	1524	shakespeare-hamlet	Hamlet
screenplay	1533	shakespeare-macbeth	Macbeth
screenplay	1513	shakespeare-romeo-and-juliet	Romeo and Juliet
screenplay	1514	shakespeare-midsummer	Midsummer
screenplay	1522	shakespeare-julius-caesar	Julius Caesar
screenplay	844	wilde-earnest	Earnest
screenplay	3825	shaw-pygmalion	Pygmalion
screenplay	2542	ibsen-dolls-house	Doll
screenplay	7986	chekhov-cherry-orchard	Cherry Orchard
screenplay	790	wilde-lady-windermere	Windermere
